Student Number,Course Title,Course Credit,Grades,Course Semester,GPA,Completed Credits,Semester GPA,Semester Credit,Department Code
0,Ideological and Moral Cultivation and Legal Foundation,2.5,4,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,Success: Career Planning,1.0,3,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,Introduction to Computer Science,2.0,1,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,Advanced Mathematics A(1),5.5,4,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,College English A(1),4.0,3,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,University Chinese,2.0,1,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,Mental Health Education for College Students,2.0,4,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,Ideological and Political Theory Course Practice1,0.5,3,1,3.1025641025641026,19.5,3.1025641025641026,19.5,BLG
0,C/C++ Language Programming,5.5,2,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,C/C++ Language Programming Course Design,1.0,4,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Digital Logic Circuits,4.0,1,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Introduction to the Basic Principles of Marxism,2.5,3,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Basic Education for Entrepreneurship,2.0,3,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Higher Mathematics A(2),5.5,1,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Cognitive Internship (IT Basic Training),1.0,2,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Ideological and Political Theory Course Practice2,0.5,3,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,College English A(2),4.0,5,2,2.681318681318681,45.5,2.3653846153846154,26.0,BLG
0,Probability Theory and Mathematical Statistics,3.0,1,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Java Programming A,4.0,1,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Outline of Modern Chinese History,1.5,2,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Linear Algebra,2.5,2,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Data Structures,5.0,1,3,2.269503546099291,70.5,1.52,25.0,BLG
0,College English A(3),4.0,3,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Microcomputer Principles and Interface Technology,4.0,1,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Data Structure Course Design,1.0,2,3,2.269503546099291,70.5,1.52,25.0,BLG
0,Principles of Operating System,4.0,1,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,Database Principles and Applications,3.5,1,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,.NET Programming A,4.0,3,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,Introduction to Mao Zedong Thought and the Theoretical System of Socialism with Chinese Characteristics,3.5,4,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,College English A(4),3.0,4,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,Database Principles and Applications Course Design,1.0,2,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,Discrete Mathematics,4.0,3,4,2.3475935828877006,93.5,2.5869565217391304,23.0,BLG
0,Computer Networks A,4.0,3,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,Software Testing Techniques,3.0,2,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,Advanced Software Engineering,3.5,4,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,Linux Programming,2.0,2,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,Algorithm Analysis and Design,2.0,3,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,Principles of Compilation,3.0,3,5,2.436936936936937,111.0,2.914285714285714,17.5,BLG
0,J2EE Framework Course Design,1.0,3,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Oracle Database Course Design,1.0,3,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Requirements Engineering & UML Modeling,3.0,3,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Software Design,3.0,3,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Information Security A,2.5,2,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Oracle Database,2.0,2,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Software Project Management,3.0,2,6,2.431297709923664,131.0,2.4,20.0,BLG
0,J2EE Framework,4.5,2,6,2.431297709923664,131.0,2.4,20.0,BLG
0,Intellectual Property and Software Protection,1.0,4,7,2.471223021582734,139.0,3.125,8.0,BLG
0,Human-Computer Interaction Technology,2.0,4,7,2.471223021582734,139.0,3.125,8.0,BLG
0,Software Development and Testing Training,3.0,3,7,2.471223021582734,139.0,3.125,8.0,BLG
0,Python Language Programming,2.0,2,7,2.471223021582734,139.0,3.125,8.0,BLG
1,Ideological and Moral Cultivation and Legal Foundation,2.5,4,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,Success: Career Planning,1.0,3,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,Introduction to Computer Science,2.0,1,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,Advanced Mathematics A(1),5.5,4,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,College English A(1),4.0,3,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,University Chinese,2.0,2,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,Mental Health Education for College Students,2.0,4,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,Ideological and Political Theory Course Practice1,0.5,5,1,3.2564102564102564,19.5,3.2564102564102564,19.5,BLG
1,C/C++ Language Programming,5.5,1,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,C/C++ Language Programming Course Design,1.0,1,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Digital Logic Circuits,4.0,1,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Introduction to the Basic Principles of Marxism,2.5,2,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Basic Education for Entrepreneurship,2.0,2,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Higher Mathematics A(2),5.5,3,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Cognitive Internship (IT Basic Training),1.0,1,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Ideological and Political Theory Course Practice2,0.5,2,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,College English A(2),4.0,4,2,2.5824175824175826,45.5,2.076923076923077,26.0,BLG
1,Probability Theory and Mathematical Statistics,3.0,3,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Java Programming A,4.0,2,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Outline of Modern Chinese History,1.5,3,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Linear Algebra,2.5,4,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Data Structures,5.0,2,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,College English A(3),4.0,2,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Microcomputer Principles and Interface Technology,4.0,1,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Data Structure Course Design,1.0,2,3,2.4539007092198584,70.5,2.22,25.0,BLG
1,Principles of Operating System,4.0,2,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,Database Principles and Applications,3.5,4,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,.NET Programming A,4.0,4,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,Introduction to Mao Zedong Thought and the Theoretical System of Socialism with Chinese Characteristics,3.5,3,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,College English A(4),3.0,3,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,Database Principles and Applications Course Design,1.0,3,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,Discrete Mathematics,4.0,3,4,2.625668449197861,93.5,3.152173913043478,23.0,BLG
1,Computer Networks A,4.0,2,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,Software Testing Techniques,3.0,3,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,Advanced Software Engineering,3.5,4,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,Linux Programming,2.0,4,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,Algorithm Analysis and Design,2.0,4,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,Principles of Compilation,3.0,1,5,2.6621621621621623,111.0,2.857142857142857,17.5,BLG
1,J2EE Framework Course Design,1.0,2,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Oracle Database Course Design,1.0,3,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Requirements Engineering & UML Modeling,3.0,3,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Software Design,3.0,3,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Information Security A,2.5,4,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Oracle Database,2.0,2,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Software Project Management,3.0,2,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,J2EE Framework,4.5,2,6,2.6526717557251906,131.0,2.6,20.0,BLG
1,Intellectual Property and Software Protection,1.0,3,7,2.7014388489208634,139.0,3.5,8.0,BLG
1,Human-Computer Interaction Technology,2.0,4,7,2.7014388489208634,139.0,3.5,8.0,BLG
1,Software Development and Testing Training,3.0,3,7,2.7014388489208634,139.0,3.5,8.0,BLG
1,Python Language Programming,2.0,4,7,2.7014388489208634,139.0,3.5,8.0,BLG
2,Ideological and Moral Cultivation and Legal Foundation,2.5,4,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,Success: Career Planning,1.0,3,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,Introduction to Computer Science,2.0,3,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,Advanced Mathematics A(1),5.5,2,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,College English A(1),4.0,2,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,University Chinese,2.0,4,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,Mental Health Education for College Students,2.0,4,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,Ideological and Political Theory Course Practice1,0.5,3,1,2.8461538461538463,19.5,2.8461538461538463,19.5,BLG
2,C/C++ Language Programming,5.5,3,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,C/C++ Language Programming Course Design,1.0,3,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Digital Logic Circuits,4.0,2,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Introduction to the Basic Principles of Marxism,2.5,2,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Basic Education for Entrepreneurship,2.0,2,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Higher Mathematics A(2),5.5,2,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Cognitive Internship (IT Basic Training),1.0,3,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Ideological and Political Theory Course Practice2,0.5,3,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,College English A(2),4.0,2,2,2.5384615384615383,45.5,2.3076923076923075,26.0,BLG
2,Probability Theory and Mathematical Statistics,3.0,3,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Java Programming A,4.0,4,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Outline of Modern Chinese History,1.5,3,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Linear Algebra,2.5,3,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Data Structures,5.0,3,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,College English A(3),4.0,2,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Microcomputer Principles and Interface Technology,4.0,3,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Data Structure Course Design,1.0,2,3,2.6879432624113475,70.5,2.96,25.0,BLG
2,Principles of Operating System,4.0,2,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,Database Principles and Applications,3.5,4,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,.NET Programming A,4.0,4,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,Introduction to Mao Zedong Thought and the Theoretical System of Socialism with Chinese Characteristics,3.5,3,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,College English A(4),3.0,3,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,Database Principles and Applications Course Design,1.0,4,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,Discrete Mathematics,4.0,3,4,2.8128342245989306,93.5,3.1956521739130435,23.0,BLG
2,Computer Networks A,4.0,3,5,2.873873873873874,111.0,3.2,17.5,BLG
2,Software Testing Techniques,3.0,4,5,2.873873873873874,111.0,3.2,17.5,BLG
2,Advanced Software Engineering,3.5,4,5,2.873873873873874,111.0,3.2,17.5,BLG
2,Linux Programming,2.0,3,5,2.873873873873874,111.0,3.2,17.5,BLG
2,Algorithm Analysis and Design,2.0,3,5,2.873873873873874,111.0,3.2,17.5,BLG
2,Principles of Compilation,3.0,2,5,2.873873873873874,111.0,3.2,17.5,BLG
2,J2EE Framework Course Design,1.0,3,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Oracle Database Course Design,1.0,3,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Requirements Engineering & UML Modeling,3.0,4,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Software Design,3.0,4,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Information Security A,2.5,3,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Oracle Database,2.0,3,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Software Project Management,3.0,5,6,3.053435114503817,131.0,4.05,20.0,BLG
2,J2EE Framework,4.5,5,6,3.053435114503817,131.0,4.05,20.0,BLG
2,Intellectual Property and Software Protection,1.0,5,7,3.093525179856115,139.0,3.75,8.0,BLG
2,Human-Computer Interaction Technology,2.0,4,7,3.093525179856115,139.0,3.75,8.0,BLG
2,Software Development and Testing Training,3.0,3,7,3.093525179856115,139.0,3.75,8.0,BLG
2,Python Language Programming,2.0,4,7,3.093525179856115,139.0,3.75,8.0,BLG
3,Ideological and Moral Cultivation and Legal Foundation,2.5,3,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,Success: Career Planning,1.0,3,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,Introduction to Computer Science,2.0,4,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,Advanced Mathematics A(1),5.5,2,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,College English A(1),4.0,2,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,University Chinese,2.0,3,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,Mental Health Education for College Students,2.0,4,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,Ideological and Political Theory Course Practice1,0.5,3,1,2.717948717948718,19.5,2.717948717948718,19.5,BLG
3,C/C++ Language Programming,5.5,4,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,C/C++ Language Programming Course Design,1.0,3,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Digital Logic Circuits,4.0,3,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Introduction to the Basic Principles of Marxism,2.5,2,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Basic Education for Entrepreneurship,2.0,4,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Higher Mathematics A(2),5.5,1,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Cognitive Internship (IT Basic Training),1.0,4,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Ideological and Political Theory Course Practice2,0.5,3,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,College English A(2),4.0,2,2,2.681318681318681,45.5,2.6538461538461537,26.0,BLG
3,Probability Theory and Mathematical Statistics,3.0,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Java Programming A,4.0,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Outline of Modern Chinese History,1.5,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Linear Algebra,2.5,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Data Structures,5.0,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,College English A(3),4.0,3,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Microcomputer Principles and Interface Technology,4.0,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Data Structure Course Design,1.0,2,3,2.49645390070922,70.5,2.16,25.0,BLG
3,Principles of Operating System,4.0,2,4,2.6310160427807485,93.5,3.0434782608695654,23.0,BLG
3,Database Principles and Applications,3.5,4,4,2.6310160427807485,93.5,3.0434782608695654,23.0,BLG
